Codigo	Nombre	Tipo	Naturaleza	Descripcion	EsDetalle	TipoEstado
1	ACTIVO	asset	debit	ACTIVO	0	1
101	ACTIVO CORRIENTE	asset	debit	ACTIVO CORRIENTE	0	1
10101	EFECTIVO Y EQUIVALENTES AL EFECTIVO	asset	debit	EFECTIVO Y EQUIVALENTES AL EFECTIVO	1	1
10102	ACTIVOS FINANCIEROS	asset	debit	ACTIVOS FINANCIEROS	0	1
1010201	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS	asset	debit	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS	1	1
1010202	ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA	asset	debit	ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA	1	1
1010203	ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO	asset	debit	ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO	1	1
1010204	(-) PROVISION POR DETERIORO	asset	credit	(-) PROVISION POR DETERIORO	1	1
1010205	DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES NO RELACIONADOS	asset	debit	DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES NO RELACIONADOS	0	1
101020501	DE ACTIVIDADES ORDINARIAS QUE GENEREN INTERESES	asset	debit	DE ACTIVIDADES ORDINARIAS QUE GENEREN INTERESES	1	1
101020502	DE ACTIVIDADES ORDINARIAS QUE NO GENEREN INTERESES	asset	debit	DE ACTIVIDADES ORDINARIAS QUE NO GENEREN INTERESES	1	1
1010206	DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES RELACIONADOS	asset	debit	DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES RELACIONADOS	1	1
1010207	OTRAS CUENTAS POR COBRAR RELACIONADAS	asset	debit	OTRAS CUENTAS POR COBRAR RELACIONADAS	1	1
1010208	OTRAS CUENTAS POR COBRAR	asset	debit	OTRAS CUENTAS POR COBRAR	1	1
1010209	(-) PROVISIÓN CUENTAS INCOBRABLES Y DETERIORO	asset	credit	(-) PROVISIÓN CUENTAS INCOBRABLES Y DETERIORO	1	1
10103	INVENTARIOS	asset	debit	INVENTARIOS	0	1
1010301	INVENTARIOS DE MATERIA PRIMA	asset	debit	INVENTARIOS DE MATERIA PRIMA	1	1
1010302	INVENTARIOS DE PRODUCTOS EN PROCESO	asset	debit	INVENTARIOS DE PRODUCTOS EN PROCESO	1	1
1010303	INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCIÓN	asset	debit	INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCIÓN	1	1
1010304	INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACIÓN DE SERVICIO	asset	debit	INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACIÓN DE SERVICIO	1	1
1010305	INVENTARIOS DE PRODUCTOS TERMINADOS Y MERCADERIA EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA	asset	debit	INVENTARIOS DE PRODUCTOS TERMINADOS Y MERCADERIA EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA	1	1
1010306	INVENTARIOS DE PRODUCTOS TERMINADOS Y MERCADERIA EN ALMACÉN - COMPRADO DE TERCEROS	asset	debit	INVENTARIOS DE PRODUCTOS TERMINADOS Y MERCADERIA EN ALMACÉN - COMPRADO DE TERCEROS	1	1
1010307	MERCADERÍAS EN TRÁNSITO	asset	debit	MERCADERÍAS EN TRÁNSITO	1	1
1010308	OBRAS EN CONSTRUCCION	asset	debit	OBRAS EN CONSTRUCCION	1	1
1010309	OBRAS TERMINADAS	asset	debit	OBRAS TERMINADAS	1	1
1010310	MATERIALES O BIENES PARA LA CONSTRUCCIÓN	asset	debit	MATERIALES O BIENES PARA LA CONSTRUCCIÓN	1	1
1010311	INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS	asset	debit	INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS	1	1
1010312	OTROS INVENTARIOS	asset	debit	OTROS INVENTARIOS	1	1
1010313	(-) PROVISIÓN POR VALOR NETO DE REALIZACIÓN Y OTRAS PÉRDIDAS EN EL INVENTARIO	asset	credit	(-) PROVISIÓN POR VALOR NETO DE REALIZACIÓN Y OTRAS PÉRDIDAS EN EL INVENTARIO	1	1
10104	SERVICIOS Y OTROS PAGOS ANTICIPADOS	asset	debit	SERVICIOS Y OTROS PAGOS ANTICIPADOS	0	1
1010401	SEGUROS PAGADOS POR ANTICIPADO	asset	debit	SEGUROS PAGADOS POR ANTICIPADO	1	1
1010402	ARRIENDOS PAGADOS POR ANTICIPADO	asset	debit	ARRIENDOS PAGADOS POR ANTICIPADO	1	1
1010403	ANTICIPOS A PROVEEDORES	asset	debit	ANTICIPOS A PROVEEDORES	1	1
1010404	OTROS ANTICIPOS ENTREGADOS	asset	debit	OTROS ANTICIPOS ENTREGADOS	1	1
10105	ACTIVOS POR IMPUESTOS CORRIENTES	asset	debit	ACTIVOS POR IMPUESTOS CORRIENTES	0	1
1010501	CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA)	asset	debit	CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA)	1	1
1010502	CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.)	asset	debit	CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.)	1	1
